BA_Abkürzung
Ta 
KüTa 
ELä 
JLä 
Fi 
OFi 
SFi 
SKi 
Wey 
Kie 
Dgl 
Eib 
sNb 
FAh 
SAh 
BAh 
RKa 
REr 
WEr 
Bi 
HBu 
EKa 
Bu 
Es 
SNu 
WNu 
WAp 
BPa 
SPa 
As 
sPa 
Kir 
TKir
WBi 
TEi 
SEi 
REi 
Rob 
Wei 
Meb 
Vb 
Spei 
Els 
WLi 
SLi 
BUl 
FUl 
FlU 
sLb 
unb. 
